Element,Al,46Ti,48Ti,Fe,Y,Zr,La,Ce,Ho,Hf,Pb,Th,U
Isotopes,27Al,46Ti,48Ti,56Fe,89Y,90Zr,139La,140Ce,165Ho,177Hf+178Hf+179Hf+180Hf,206Pb+207Pb+208Pb,232Th,238U
Sensitivity (TofCts/g),8.93E+15,3.99E+15,5.39E+16,1.17E+17,3.01E+17,1.70E+17,5.47E+17,5.35E+17,2.76E+17,2.67E+17,3.00E+17,2.55E+17,2.83E+17
MedianSignal (TofCts),1.19E+01,1.58E+01,9.39E+00,4.53E+01,1.30E+01,4.74E+01,1.35E+01,1.47E+01,8.90E+00,1.30E+01,1.07E+01,1.27E+01,9.68E+00
Avg Lc (TofCts),7.25,12.07,7.62,15.83,5.87,4.75,5.75,6.04,5.17,4.42,6.2,3.7,4.03
Avg Bkgd (TofCts),0.125,0.996,0.058,4.812,0.163,0.126,0.148,0.196,0.024,0.03,0.157,0.028,0.023
DynamicAlpha,1.00E-06,1.00E-07,1.00E-07,1.00E-05,3.20E-06,3.20E-05,3.20E-06,3.20E-06,3.20E-07,3.20E-06,3.20E-07,1.00E-05,3.20E-06
Filename,01h07m35s_Zr_Hark_2kx.h5,,,,,,,,,,,,
spTime (s),120.226,,,,,,,,,,,,
qPlasma (mL/s),0.000063,,,,,,,,,,,,
,,,,,,,,,,,,,
Particle Signals (TofCts),,,,,,,,,,,,,
Comp,Al,46Ti,48Ti,Fe,Y,Zr,La,Ce,Ho,Hf,Pb,Th,U
Fe+Zr+Th,0,0,0,32.428,0,25.846,0,0,0,0,0,37.742,0
Zr+Th,0,0,0,0,0,13.18,0,0,0,0,0,11.434,0
Zr,0,0,0,0,0,6.077,0,0,0,0,0,0,0
Fe+Zr+Ce+Hf+Th+U,0,0,0,55.399,0,1145.134,0,6.144,0,50.534,0,25.177,5.243
Zr,0,0,0,0,0,106.473,0,0,0,0,0,0,0
Y+Zr+Ce+Hf+Th,0,0,0,0,10.043,2305.925,0,6.562,0,63.627,0,13.707,0
Fe+Th,0,0,0,19.812,0,0,0,0,0,0,0,4.446,0
Zr,0,0,0,0,0,5.363,0,0,0,0,0,0,0
Fe+Zr,0,0,0,17.366,0,10.35,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,615.459,0,0,0,11.357,0,0,0
Fe+Y+Zr+Hf+Th+U,0,0,0,36.042,86.517,390.297,0,0,0,6.467,0,67.388,4.736
Fe+Zr+La+Ce+Th,0,0,0,109.78,0,32.168,14.299,15.436,0,0,0,12.373,0
Fe+Zr+Th,0,0,0,64.96,0,45.464,0,0,0,0,0,15.326,0
Fe+Y+Zr+La+Ce+Th,0,0,0,151.347,7.488,309.459,38.842,45.896,0,0,0,52.762,0
Zr+Th,0,0,0,0,0,9.949,0,0,0,0,0,6.364,0
Fe+Y+Zr+Hf+Th,0,0,0,16.538,8.142,2263.768,0,0,0,59.651,0,10.425,0
Zr+Hf+Th+U,0,0,0,0,0,1512.04,0,0,0,44.757,0,12.084,6.111
Fe+Zr+Th,0,0,0,39.797,0,86.617,0,0,0,0,0,8.187,0
Zr+Th,0,0,0,0,0,38.355,0,0,0,0,0,8.382,0
Fe+Zr+Th,0,0,0,355.958,0,15.183,0,0,0,0,0,9.141,0
Zr,0,0,0,0,0,5.456,0,0,0,0,0,0,0
Zr+La+Ce,0,0,0,0,0,9.711,16.092,69.126,0,0,0,0,0
Fe+Y+Zr+Hf+Th+U,0,0,0,101.465,9.148,4199.999,0,0,0,84.667,0,10.192,26.1
Zr+Ce+Th,0,0,0,0,0,5.164,0,14.227,0,0,0,3.882,0
Zr+Th,0,0,0,0,0,8.435,0,0,0,0,0,4.112,0
Zr+Th,0,0,0,0,0,13.694,0,0,0,0,0,4.95,0
Fe+Y+Zr+Ce+Th,0,0,0,79.584,6.019,108.043,0,9.606,0,0,0,14.57,0
Fe+Zr+Th,0,0,0,198.162,0,10.151,0,0,0,0,0,9.229,0
Zr,0,0,0,0,0,35.496,0,0,0,0,0,0,0
Zr,0,0,0,0,0,62.788,0,0,0,0,0,0,0
